epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.0983,3.55936,3.49514,2.07255,0.0075,0.01545,0.00381,0.00116,3.31826,3.43951,1.86344,0.0865,0.0015,0.0015
2,9.58406,3.1915,3.19938,1.75135,0.01042,0.02146,0.00532,0.00159,2.91522,3.28193,1.61943,0.0720795,0.00307954,0.00307954
3,18.1772,2.8325,2.584,1.54292,0.03292,0.06781,0.01763,0.00543,2.45621,3.03762,1.44405,0.057638,0.00463796,0.00463796
4,22.8803,2.59711,2.06242,1.4538,0.22865,0.46867,0.26318,0.08852,2.15632,2.26264,1.32687,0.0431753,0.00617526,0.00617526
5,27.4946,2.37425,1.91855,1.43504,0.25154,0.30218,0.17655,0.05366,2.2278,2.0999,1.34872,0.0286914,0.00769144,0.00769144
6,32.2293,2.48127,1.93241,1.45141,0.39792,0.38798,0.30115,0.09399,2.45782,1.65084,1.58027,0.0141865,0.0091865,0.0091865
7,37.203,2.62123,1.82629,1.46021,0.46562,0.48412,0.42288,0.15027,2.17433,1.50122,1.39865,0.009604,0.009604,0.009604
8,79.7639,2.35452,1.78446,1.33396,0.32713,0.37468,0.25967,0.09162,2.1874,2.06254,1.3459,0.009538,0.009538,0.009538
9,117.999,2.38871,1.7935,1.35613,0.43725,0.42017,0.34628,0.12112,2.38029,1.75452,1.61482,0.009472,0.009472,0.009472
10,157.4,2.17113,1.68888,1.31749,0.47746,0.51459,0.44162,0.16912,1.9492,2.87714,1.27503,0.009406,0.009406,0.009406
11,194.438,2.28258,1.75731,1.29853,0.42617,0.51382,0.39292,0.15945,2.14241,1.49073,1.38966,0.00934,0.00934,0.00934
12,236.063,2.29399,1.72115,1.26766,0.39685,0.43391,0.32746,0.11806,2.04579,2.09258,1.23518,0.009274,0.009274,0.009274
13,275.486,2.23877,1.71559,1.26968,0.4645,0.49871,0.43513,0.1844,1.88323,1.48207,1.22349,0.009208,0.009208,0.009208
14,311.085,2.30627,1.81139,1.28761,0.36004,0.42747,0.28378,0.08912,2.06401,1.8363,1.23241,0.009142,0.009142,0.009142
15,352.375,2.20835,1.64794,1.23461,0.49085,0.52618,0.44591,0.18118,2.02881,1.47584,1.26768,0.009076,0.009076,0.009076
16,391.011,2.15888,1.777,1.21589,0.4336,0.51287,0.37617,0.13197,1.96837,1.59978,1.20704,0.00901,0.00901,0.00901
17,434.026,2.21917,1.60529,1.21327,0.52713,0.52189,0.49382,0.2172,1.97386,1.42776,1.19188,0.008944,0.008944,0.008944
18,476.115,2.13712,1.49576,1.21369,0.5541,0.5485,0.509,0.21867,1.94314,1.33227,1.20384,0.008878,0.008878,0.008878
19,516.194,2.18596,1.54051,1.22504,0.5583,0.5721,0.53503,0.2312,1.90225,1.36896,1.2093,0.008812,0.008812,0.008812
20,556.496,2.21107,1.53715,1.2167,0.54258,0.55451,0.50659,0.22831,1.888,1.36372,1.19174,0.008746,0.008746,0.008746
21,596.289,2.13501,1.45251,1.2139,0.51428,0.55758,0.51764,0.23635,1.85002,1.31613,1.15712,0.00868,0.00868,0.00868
22,635.302,2.11872,1.42573,1.18831,0.58226,0.61674,0.59482,0.26489,1.89178,1.29548,1.16204,0.008614,0.008614,0.008614
23,674.822,2.02791,1.48125,1.1601,0.56033,0.59785,0.55016,0.22829,1.87807,1.37182,1.14169,0.008548,0.008548,0.008548
24,712.285,2.10169,1.53827,1.18542,0.53342,0.61717,0.55567,0.25488,1.78964,1.2694,1.13632,0.008482,0.008482,0.008482
25,754.15,2.25246,1.51001,1.20696,0.58961,0.65977,0.60499,0.29509,1.76139,1.22702,1.14722,0.008416,0.008416,0.008416
26,795.485,2.15514,1.43808,1.18285,0.63569,0.62918,0.62412,0.27621,1.85766,1.23881,1.15178,0.00835,0.00835,0.00835
27,836.778,2.08734,1.4714,1.17738,0.6561,0.703,0.66739,0.33226,1.69752,1.17757,1.12252,0.008284,0.008284,0.008284
28,874.752,2.1403,1.4521,1.23581,0.64406,0.6691,0.64135,0.30125,1.7722,1.22931,1.14233,0.008218,0.008218,0.008218
29,915.598,2.05352,1.39223,1.18253,0.64912,0.65408,0.65538,0.31469,1.75655,1.23165,1.12424,0.008152,0.008152,0.008152
30,959.323,2.13947,1.46616,1.19515,0.65608,0.6794,0.66831,0.33375,1.6921,1.16752,1.12351,0.008086,0.008086,0.008086
31,997.64,1.88282,1.30203,1.13947,0.64233,0.64034,0.64322,0.30265,1.73502,1.23394,1.1167,0.00802,0.00802,0.00802
32,1034.46,1.93943,1.40932,1.15437,0.67373,0.69657,0.68867,0.34375,1.66019,1.16646,1.09528,0.007954,0.007954,0.007954
33,1073.01,1.99502,1.36795,1.12642,0.64948,0.62232,0.62749,0.23225,2.08988,1.35297,1.20334,0.007888,0.007888,0.007888
34,1111.88,1.92545,1.31304,1.13964,0.64441,0.66009,0.66055,0.30345,1.75119,1.24232,1.10854,0.007822,0.007822,0.007822
35,1149.92,1.96695,1.3136,1.13642,0.6771,0.68849,0.69934,0.33053,1.83158,1.16759,1.136,0.007756,0.007756,0.007756
36,1188.83,1.9244,1.36361,1.13663,0.57811,0.56695,0.54646,0.19512,2.12351,1.45488,1.2012,0.00769,0.00769,0.00769
37,1229.36,1.96926,1.3155,1.14765,0.69122,0.69847,0.69874,0.33655,1.73756,1.15576,1.12057,0.007624,0.007624,0.007624
38,1267.84,1.88299,1.31472,1.12755,0.66481,0.65494,0.65673,0.28565,1.81142,1.2368,1.11421,0.007558,0.007558,0.007558
39,1303.74,1.94916,1.3669,1.15506,0.66634,0.67625,0.68091,0.3333,1.70008,1.15391,1.10697,0.007492,0.007492,0.007492
40,1346.84,1.92261,1.2809,1.11578,0.59784,0.6144,0.60614,0.22333,2.03876,1.33969,1.15655,0.007426,0.007426,0.007426
41,1384.79,2.03753,1.32083,1.14504,0.72203,0.71803,0.72791,0.37044,1.64297,1.09979,1.07864,0.00736,0.00736,0.00736
42,1424.65,1.91504,1.26171,1.10372,0.69834,0.70601,0.72068,0.35864,1.7167,1.11476,1.09116,0.007294,0.007294,0.007294
43,1465.67,1.99982,1.30343,1.13762,0.62424,0.60129,0.54944,0.20976,1.96568,1.25488,1.23236,0.007228,0.007228,0.007228
44,1504.89,2.00294,1.3247,1.12029,0.64067,0.60172,0.62219,0.2463,1.9538,1.3063,1.14057,0.007162,0.007162,0.007162
