epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.40995,3.56925,3.49835,2.07385,0.00438,0.00901,0.00221,0.00058,3.34403,3.45244,1.85938,0.0015,0.0015,0.0865
2,8.99644,3.19377,3.20423,1.73058,0.01063,0.02189,0.00543,0.00141,2.92865,3.28373,1.61121,0.00307954,0.00307954,0.0720795
3,11.9017,2.8541,2.57754,1.53697,0.02771,0.05708,0.01478,0.00495,2.45893,3.08391,1.47344,0.00463796,0.00463796,0.057638
4,14.3683,2.60268,2.08405,1.45146,0.24438,0.50343,0.27838,0.09647,2.14648,2.3347,1.37363,0.00617526,0.00617526,0.0431753
5,16.8451,2.33109,1.93062,1.40502,0.18962,0.18669,0.11199,0.03631,2.2481,2.32876,1.33183,0.00769144,0.00769144,0.0286914
6,19.4372,2.40189,1.82431,1.42283,0.41751,0.44421,0.33702,0.13413,2.12175,1.63637,1.39311,0.0091865,0.0091865,0.0141865
7,21.9921,2.43606,1.85501,1.3451,0.15359,0.17124,0.08317,0.02785,2.27461,2.1202,1.30447,0.009604,0.009604,0.009604
8,24.7411,2.33487,1.7396,1.35395,0.4492,0.46343,0.38094,0.15179,2.05309,1.51221,1.32653,0.009538,0.009538,0.009538
9,27.0594,2.3614,1.78752,1.3564,0.44009,0.44293,0.37662,0.13358,2.19024,2.29683,1.39369,0.009472,0.009472,0.009472
10,29.458,2.19267,1.68866,1.29227,0.42848,0.52146,0.3997,0.13226,2.00767,1.97399,1.2515,0.009406,0.009406,0.009406
11,31.7709,2.37922,1.7352,1.31058,0.50785,0.49485,0.46089,0.17142,2.23325,1.81921,1.35766,0.00934,0.00934,0.00934
12,34.1781,2.3481,1.65088,1.27873,0.51388,0.49185,0.44563,0.17614,1.95784,1.6016,1.22204,0.009274,0.009274,0.009274
13,36.6842,2.27315,1.67598,1.29402,0.48629,0.5,0.44942,0.1957,1.92833,1.52885,1.25024,0.009208,0.009208,0.009208
14,38.9223,2.27194,1.79663,1.27617,0.36473,0.41631,0.29054,0.09865,2.06515,1.80255,1.1977,0.009142,0.009142,0.009142
15,41.8138,2.22689,1.63608,1.24765,0.53341,0.5309,0.4946,0.21582,1.88938,1.37765,1.20195,0.009076,0.009076,0.009076
16,44.1414,2.21685,1.83197,1.22987,0.4346,0.49099,0.36233,0.12554,2.00449,1.625,1.20338,0.00901,0.00901,0.00901
17,46.9011,2.22539,1.62152,1.20801,0.51333,0.52602,0.47602,0.20971,1.89669,1.40803,1.18783,0.008944,0.008944,0.008944
